“interval”,“udp”,“mbit”
0,2126,17.416192
1,1385,11.34592
2,1186,9.715712
3,972,7.962624
4,820,6.71744
5,787,6.447104
6,873,7.151616
7,867,7.102464
8,762,6.242304
9,774,6.340608
10,654,5.357568
11,601,4.923392
12,569,4.661248
13,550,4.5056
14,562,4.603904
15,531,4.349952
16,509,4.169728
17,489,4.005888
18,507,4.153344
19,531,4.349952
20,533,4.366336
21,511,4.186112
22,553,4.530176
23,569,4.661248
24,500,4.096
25,505,4.13696
26,502,4.112384
27,548,4.489216
28,488,3.997696
29,533,4.366336
30,476,3.899392
31,508,4.161536
32,553,4.530176
33,523,4.284416
34,498,4.079616
35,490,4.01408
36,495,4.05504
37,507,4.153344
38,465,3.80928
39,486,3.981312
40,479,3.923968
41,496,4.063232
42,483,3.956736
43,500,4.096
44,507,4.153344
45,558,4.571136
46,583,4.775936
47,625,5.12
48,598,4.898816
49,573,4.694016
50,592,4.849664
51,624,5.111808
52,559,4.579328
53,563,4.612096
54,567,4.644864
55,568,4.653056
56,603,4.939776
57,622,5.095424
58,609,4.988928
59,557,4.562944
60,602,4.931584
61,568,4.653056
62,634,5.193728
63,642,5.259264
64,597,4.890624
65,638,5.226496
66,602,4.931584
67,576,4.718592
68,632,5.177344
69,546,4.472832
70,549,4.497408
71,587,4.808704
72,638,5.226496
73,652,5.341184
74,610,4.99712
75,599,4.907008
76,494,4.046848
77,542,4.440064
78,576,4.718592
79,740,6.06208
80,614,5.029888
81,539,4.415488
82,513,4.202496
83,522,4.276224
84,518,4.243456
85,529,4.333568
86,553,4.530176
87,528,4.325376
88,463,3.792896
89,497,4.071424
90,514,4.210688
91,549,4.497408
92,529,4.333568
93,575,4.7104
94,554,4.538368
95,549,4.497408
96,559,4.579328
97,538,4.407296
98,493,4.038656
99,586,4.800512
100,358,2.932736
